1,Renascer de Mar,2,João Oliveira
2,Renascer de Horizonte,3,Ana Silva
3,Horizonte de Aventura,4,Beatriz Pereira
4,Destino de Mar,5,Laura Ferreira
5,Aventura de Luz,6,Carlos Oliveira
6,Horizontes de Vento,7,Laura Pereira
7,Labirinto de Caminhada,8,Maria Santos
8,Luz de Imortal,9,Carlos Silva
9,História de Segredo,10,Carlos Costa
10,Renascer de Destino,1,Ana Santos
11,Terra de Montanha,2,Carlos Lima
12,Terra de Labirinto,3,Mateus Lima
13,Tradição de Revolução,4,Ana Costa
14,Guerra de Vida,5,Rafael Souza
15,Amor de Caminhada,6,Mateus Silva
16,Coração de Guerra,7,Beatriz Costa
17,Eterno de Raízes,8,João Pereira
18,Sombras de Mar,9,Mateus Pereira
19,Luz de Fogo,10,Mateus Gomes
20,Horizonte de Guerra,1,Ana Souza
21,Cidade de Caminho,2,João Costa
22,Eterno de Coração,3,Rafael Oliveira
23,Montanha de Céu,4,João Ferreira
24,Mistério de Imortal,5,Rafael Gomes
25,Labirinto de Labirinto,6,Pedro Almeida
26,Coração de História,7,João Silva
27,Revolução de Tradição,8,Pedro Oliveira
28,Cidade de Alma,9,Rafael Almeida
29,Ecos de Destino,10,Mateus Souza
30,Horizontes de Coração,1,João Ferreira
31,Horizontes de Futuro,2,João Gomes
32,Caminho de Destino,3,Mateus Costa
33,Sonho de Terra,4,Beatriz Gomes
34,Memória de Horizonte,5,Isabela Silva
35,Labirinto de Montanha,6,Ana Costa
36,Refúgio de Vento,7,Ana Souza
37,Renascer de Eterno,8,João Costa
38,Liberdade de Horizontes,9,João Ferreira
39,Refúgio de Renascer,10,Mateus Almeida
40,Renascer de Sonho,1,Beatriz Ferreira
41,Reflexo de Caminhada,2,Mateus Oliveira
42,Enigma de Labirinto,3,Pedro Souza
43,Coração de Caminho,4,Isabela Souza
44,Vida de Sombras,5,João Lima
45,Liberdade de Sabedoria,6,Laura Ferreira
46,Tradição de Memória,7,Pedro Souza
47,Terra de Viagem,8,Isabela Souza
48,História de Labirinto,9,Beatriz Gomes
49,Vida de Vida,10,Carlos Ferreira
50,Coração de Destino,1,Isabela Souza
51,História de Imortal,2,Beatriz Santos
52,Segredo de Horizontes,3,Maria Santos
53,Céu de Horizontes,4,Isabela Silva
54,Renascer de Sabedoria,5,Rafael Costa
55,Guerra de Tradição,6,Beatriz Silva
56,Destino de Ecos,7,Rafael Gomes
57,Sonho de Liberdade,8,Ana Oliveira
58,Guerra de Horizontes,9,Beatriz Oliveira
59,Fogo de Guerra,10,Ana Silva
60,Vento de Natureza,1,Maria Lima
61,Coração de Fogo,2,Maria Souza
62,Labirinto de Segredo,3,Ana Lima
63,Sombras de Revolução,4,Mateus Lima
64,Futuro de Raízes,5,Mateus Lima
65,Alma de Esperança,6,Mateus Ferreira
66,Reflexo de Montanha,7,Laura Ferreira
67,Herança de Coração,8,João Almeida
68,Liberdade de Terra,9,Laura Souza
69,Caminho de Ecos,10,Carlos Ferreira
70,Tradição de Imortal,1,Laura Almeida
71,Sonho de Caminhada,2,Carlos Lima
72,Sombras de Eterno,3,Laura Souza
73,Caminho de História,4,Isabela Ferreira
74,Guerra de Segredo,5,Ana Lima
75,Amor de Montanha,6,Mateus Oliveira
76,Ecos de Reflexo,7,Beatriz Ferreira
77,Revolução de Luz,8,Carlos Santos
78,Sonho de Horizonte,9,Ana Gomes
79,Cidade de Raízes,10,Ana Silva
80,Horizonte de Memória,1,Beatriz Ferreira
81,Luz de Montanha,2,Rafael Ferreira
82,Vida de Sabedoria,3,Mateus Oliveira
83,Céu de Renascer,4,Rafael Costa
84,Luz de Esperança,5,Beatriz Souza
85,Aventura de Horizontes,6,Isabela Oliveira
86,Revolução de Mistério,7,Beatriz Santos
87,Mistério de Raízes,8,Rafael Lima
88,Refúgio de Segredo,9,Ana Silva
89,Raízes de Céu,10,Mateus Gomes
90,Liberdade de Sonho,1,Carlos Almeida
91,Natureza de Revolução,2,João Souza
92,Imortal de Aventura,3,Carlos Lima
93,Eterno de Guerra,4,Carlos Oliveira
94,Sabedoria de Mar,5,Ana Lima
95,Esperança de Labirinto,6,Ana Pereira
96,Cidade de Caminhada,7,Maria Oliveira
97,Herança de Mistério,8,Carlos Gomes
98,Liberdade de Tradição,9,Ana Gomes
99,Montanha de Raízes,10,João Gomes
100,Ecos de Sabedoria,1,Carlos Pereira
101,Fogo de Céu,2,Carlos Santos
102,Sabedoria de Raízes,3,Rafael Pereira
103,Mistério de Reflexo,4,Laura Santos
104,Caminhada de Renascer,5,Ana Ferreira
105,Amor de Aventura,6,Maria Lima
106,Guerra de Destino,7,Maria Gomes
107,Amor de Mar,8,Rafael Oliveira
108,Destino de Terra,9,Isabela Almeida
109,Vento de Sonho,10,Laura Costa
110,Guerra de Raízes,1,Carlos Costa
111,Céu de Céu,2,Laura Costa
112,Sombras de Horizontes,3,Isabela Ferreira
113,Raízes de Coração,4,Rafael Santos
114,Coração de Aventura,5,Ana Silva
115,Terra de Refúgio,6,Ana Almeida
116,Luz de História,7,Laura Lima
117,Cidade de Enigma,8,Maria Ferreira
118,Segredo de Destino,9,Beatriz Pereira
119,História de Cidade,10,Carlos Santos
120,Natureza de Luz,1,Maria Gomes
121,Natureza de Viagem,2,Laura Lima
122,Ecos de Fogo,3,Laura Gomes
123,Horizonte de Renascer,4,Pedro Costa
124,Horizontes de Mistério,5,Rafael Lima
125,Terra de Memória,6,Mateus Souza
126,Terra de Liberdade,7,Laura Pereira
127,Tradição de Refúgio,8,Ana Pereira
128,Destino de Caminhada,9,Carlos Costa
129,Imortal de Segredo,10,Isabela Lima
130,Revolução de Viagem,1,Isabela Santos
131,Imortal de Imortal,2,Ana Ferreira
132,Futuro de Aventura,3,Mateus Almeida
133,Sabedoria de Guerra,4,Rafael Gomes
134,Herança de Mar,5,Ana Lima
135,Eterno de Luz,6,Rafael Santos
136,Revolução de Revolução,7,Ana Santos
137,Horizonte de Cidade,8,Isabela Gomes
